author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Capital Group,developer,https://www.cian.ru/sale/flat/313877981/,Москва,sale,flat,11,18,2,45.8,-1,0,62598031.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Alpha Star Properties,real_estate_agent,https://www.cian.ru/sale/flat/315795006/,Москва,sale,flat,25,61,2,61.0,-1,0,76250000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
Tekta Group,developer,https://www.cian.ru/sale/flat/301260611/,Москва,sale,flat,6,27,2,40.5,-1,0,28172548.0,Даниловский,,,Павелецкая,Эра ЖК
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317646469/,Москва,sale,flat,5,5,3,152.0,-1,0,103000000.0,Красносельский,переулок Даев,31С2,Сухаревская,
Sminex,developer,https://www.cian.ru/sale/flat/316363605/,Москва,sale,flat,2,22,2,99.7,-1,0,89850000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309810361/,Москва,sale,flat,5,5,3,151.6,-1,0,103000000.0,Красносельский,переулок Даев,31С2,Сухаревская,
MR Group,developer,https://www.cian.ru/sale/flat/313339791/,Москва,sale,flat,3,36,2,61.7,-1,0,53351990.0,Беговой,Северный ао,,Белорусская,Слава ЖК
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/315458722/,Москва,sale,flat,4,42,3,81.34,-1,0,43900000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Стадион Спартак,developer,https://www.cian.ru/sale/flat/309287795/,Москва,sale,flat,3,20,2,64.5,-1,0,34243050.0,Покровское-Стрешнево,,,Спартак,Клубный Город на Реке Примавера ЖК
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/314841772/,Москва,sale,flat,3,21,3,119.4,-1,0,52990000.0,Тропарево-Никулино,проспект Вернадского,92К1,Юго-Западная,Корона Эйр
Sminex,developer,https://www.cian.ru/sale/flat/316504570/,Москва,sale,flat,2,9,2,76.1,-1,0,107230000.0,Пресненский,,,Белорусская,Тишинский Бульвар ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316614908/,Москва,sale,flat,11,41,2,48.0,-1,0,44900000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Sminex,developer,https://www.cian.ru/sale/flat/316419175/,Москва,sale,flat,4,13,2,86.1,-1,0,233470000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный квартал 
