price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
62598031.0,Дорогомилово,Москва-Сити,,,11,18,45.8,2,Бадаевский ЖК,https://www.cian.ru/sale/flat/313877981/
76250000.0,Пресненский,Москва-Сити,Краснопресненская набережная,14Ак1,25,61,61.0,2,Capital Towers,https://www.cian.ru/sale/flat/315795006/
28172548.0,Даниловский,Павелецкая,,,6,27,40.5,2,Эра ЖК,https://www.cian.ru/sale/flat/301260611/
103000000.0,Красносельский,Сухаревская,переулок Даев,31С2,5,5,152.0,3,,https://www.cian.ru/sale/flat/317646469/
89850000.0,Пресненский,Улица 1905 года,,,2,22,99.7,2,Лайф Тайм ЖК,https://www.cian.ru/sale/flat/316363605/
103000000.0,Красносельский,Сухаревская,переулок Даев,31С2,5,5,151.6,3,,https://www.cian.ru/sale/flat/309810361/
53351990.0,Беговой,Белорусская,Северный ао,,3,36,61.7,2,Слава ЖК,https://www.cian.ru/sale/flat/313339791/
43900000.0,Раменки,Аминьевская, Лобачевского,120к1,4,42,81.34,3,Крылья,https://www.cian.ru/sale/flat/315458722/
34243050.0,Покровское-Стрешнево,Спартак,,,3,20,64.5,2,Клубный Город на Реке Примавера ЖК,https://www.cian.ru/sale/flat/309287795/
52990000.0,Тропарево-Никулино,Юго-Западная,проспект Вернадского,92К1,3,21,119.4,3,Корона Эйр,https://www.cian.ru/sale/flat/314841772/
107230000.0,Пресненский,Белорусская,,,2,9,76.1,2,Тишинский Бульвар ЖК,https://www.cian.ru/sale/flat/316504570/
44900000.0,Раменки,Кутузовская,1-й Сетуньский проезд,8,11,41,48.0,2,Hide,https://www.cian.ru/sale/flat/316614908/
233470000.0,Хамовники,Фрунзенская,Фрунзенская набережная,30,4,13,86.1,2,Клубный квартал ,https://www.cian.ru/sale/flat/316419175/
130000000.0,Тверской,Чеховская, Петровка,28,3,4,124.0,3,,https://www.cian.ru/sale/flat/315288286/
,Можайский,Давыдково,,,2,59,51.6,2,Веер ЖК,https://www.cian.ru/sale/flat/317210544/
630000000.0,Пресненский,Пушкинская,Малая Бронная ,15Б,2,7,137.0,3,Малая Бронная 15,https://www.cian.ru/sale/flat/312477508/
84199000.0,Замоскворечье,Павелецкая,Шлюзовая набережная,2/1С1,6,27,86.7,2,Монблан,https://www.cian.ru/sale/flat/311215931/
630000000.0,Пресненский,Тверская,Малая Бронная ,15Б,2,5,137.1,3,Малая Бронная 15,https://www.cian.ru/sale/flat/316161198/
30017784.0,Даниловский,Павелецкая,,,2,39,35.4,2,Хай Лайф ЖК,https://www.cian.ru/sale/flat/314720713/
14900000.0,Даниловский,Тульская, Серпуховский Вал,18/28,1,8,34.8,2,,https://www.cian.ru/sale/flat/317092744/
20230203.0,Даниловский,Тульская,,к14,2,27,42.7,2,Павелецкая Сити ЖК,https://www.cian.ru/sale/flat/317029862/
75000000.0,Пресненский,Москва-Сити,Краснопресненская набережная,14Ак1,25,61,60.0,1,Capital Towers,https://www.cian.ru/sale/flat/315745436/
22084531.0,Обручевский,Воронцовская, Архитектора Власова,,21,34,42.6,2,Ever,https://www.cian.ru/sale/flat/301261741/
112000000.0,Якиманка,Третьяковская,Лаврушинский переулок,17С2,5,9,92.1,3,,https://www.cian.ru/sale/flat/315975609/
33128941.0,Филевский парк,Фили,Береговой проезд,2,7,26,64.5,2,Береговой-2,https://www.cian.ru/sale/flat/306076627/
111500000.0,Якиманка,Третьяковская,Лаврушинский переулок,17С2,5,9,93.0,3,,https://www.cian.ru/sale/flat/316565405/
,Даниловский,Павелецкая,Дербеневская ,1С5,3,11,56.2,2,"Клубный дом ""OPUS""",https://www.cian.ru/sale/flat/313114568/
60000000.0,Дорогомилово,Парк Победы, Дениса Давыдова,3,8,8,99.4,3,,https://www.cian.ru/sale/flat/315495919/
64000000.0,Хорошево-Мневники,Серебряный Бор,Живописная ,21А,14,25,83.2,3,Дом Серебряный Бор,https://www.cian.ru/sale/flat/314208076/
,Филевский парк,Фили,,,3,57,41.55,1,Фили Сити ЖК,https://www.cian.ru/sale/flat/306067955/
13500000.0,Щукино,Щукинская,Новощукинская ,9,4,5,43.0,2,,https://www.cian.ru/sale/flat/312155484/
,Филевский парк,Фили,Береговой проезд,2,6,26,101.8,3,Береговой-2,https://www.cian.ru/sale/flat/296921134/
14200000.0,Марьино,Братиславская,Братиславская ,33,14,16,53.7,2,,https://www.cian.ru/sale/flat/317567543/
29000000.0,Хамовники,Смоленская, Плющиха,9А,3,5,61.4,3,,https://www.cian.ru/sale/flat/316321471/
29654500.0,Обручевский,Воронцовская, Архитектора Власова,,12,34,60.1,3,Ever,https://www.cian.ru/sale/flat/301266291/
79000000.0,Даниловский,ЗИЛ, Родченко,2,11,15,113.5,3,ЗИЛАРТ,https://www.cian.ru/sale/flat/315662772/
19000000.0,Головинский,Коптево,Кронштадтский бульвар,30К2,4,12,63.0,3,,https://www.cian.ru/sale/flat/317042296/
,Можайский,Давыдково,,,27,59,76.6,3,Веер ЖК,https://www.cian.ru/sale/flat/317210437/
22000000.0,Академический,Академическая,проспект 60-летия Октября,14,5,5,57.5,2,,https://www.cian.ru/sale/flat/314356422/
312480000.0,Тверской,Площадь Революции,Никольская ,8,2,7,130.2,2,Nicole,https://www.cian.ru/sale/flat/316498997/
57500000.0,Раменки,Минская,проспект Генерала Дорохова,39к2Б,11,13,68.8,3,Собрание клубных домов West Garden,https://www.cian.ru/sale/flat/315044981/
20700000.0,Печатники,Люблино, Кухмистерова,14,9,9,65.6,2,,https://www.cian.ru/sale/flat/317641470/
